água	lágrima/gelo/oceano/suor/transpiração
papel	lauda/escudeiro/página
ar	vento
vinho	uva
ouro	dourado
madeira	viga/trave
ferro	aço
tecido	criatura/organismo/ser
areia	faixa/costa/praia/betão/concreto/formigão
cocaína	coca
neve	coca
cimento	massa/argamassa/almofariz/morteiro/betão/concreto/formigão
osso	corno/chifre
gelo	geleira/glaciar
alumínio	duralumínio
azeite	azeitona
proteína	ovo/leite/vianda/carne/legume/vegetal
carbono	hulha/carvão/petróleo/óleo/calcário
oxigénio	ozono/ar/água
farinha	pastel/pasta/massa/pão
erva	baseado
vapor	nuvem/nuvens
celulose	papel/carta/fibra/thread
pinheiro	abeto
mineral	rocha/pedra
cobre	malaquita/latão/bronze
mel	hidromel
lã	tweed
casca	concha/carapaça/cutícula
nicotina	fumo/tabaco
cálcio	cal/gesso/calcário
enxofre	sulfureto
soro	sangue
hidrogénio	água
azoto	ar
cacau	chocolate
néon	ar
sódio	salmoura
argila	cerâmica/olaria/telha/tijolo
pinho	pinheiro
estanho	cassiterita
silicone	granito/feldspato/quartzo/argila/silício/areia
cafeína	chá/café
potássio	salmoura
gin	martini
pigmento	cor/tinta/pintura
silício	granito/feldspato/quartzo/argila/silicone/areia
cânhamo	lona/toa/corda
rum	zumbi
iodo	salmoura
mandioca	tapioca
banha	suíno/sus/porco
arsénico	inseticida/herbicida
aminoácido	proteína
magnésio	dolomita
adobe	tijolo_cru
ulmeiro	olmo
laca	goma-laca
progesterona	pílula
salitre	estrume/fertilizante
nitroglicerina	dinamite/cordite
melanina	pena/plumagem/pluma/pele
sílica	cristal/quartzo
arsénio	inseticida/herbicida
canabis	baseado
maconha	baseado/lona/toa/corda
olmo	ulmeiro
árgon	ar
fubá	polenta
zircónio	zircão
juta	toa/corda
nitrogénio	ar
anis	pastis/absinto
berílio	berilo
copra	coco/côco
bromo	salmoura
lanígero	tweed
côco	coco
tapioca	mandioca
páprica	pimentão/pimento
antipartícula	anti-matéria/antimatéria
assadeira	folha/lata
coalhada	queijo
cânfora	celulóide
esmeril	lixa
saqué	arroz
erva-doce	pastis/absinto
cré	giz
mata-ratos	inseticida/herbicida
canábis	baseado
ácer	roble/bordo
macaxeira	tapioca
gim	martini
amino-ácido	proteína
oxigênio	ozono/ar/água
neón	ar
